,customerid,balance,numofproducts,hascrcard,tenure,isactivemember,exited,surname,creditscore,geography,gender,age,estimatedsalary,estimatedsalary_group,age_group,saving,saving_group,creditscore_group,numofproducts_scale,creditscore_scale,age_scale,gender_scale,geography_germany,geography_spain,age_group_21-23,age_group_24-32,age_group_33-44,age_group_45-60,age_group_above 60,numofproducts_2,numofproducts_3,numofproducts_4,saving_group_below 50k,saving_group_50k-100k,saving_group_100k - 150k,saving_group_150k - 200k,saving_group_above 200k,creditscore_group_650-700,creditscore_group_above 700,stay_proba,exit_proba,predicted
17,15788218,0.0,2,1,9,1,0,Henderson,549,spain,female,24,14406.41,1k-20k,24-32,0,no saving,below 650,0.3333333333333333,0.398,0.08108108108108109,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9321133753660248,0.06788662463397517,0.0
18,15661507,0.0,1,0,6,0,0,Muldrow,587,spain,male,45,158684.81,150k - 200k,45-60,0,no saving,below 650,0.0,0.47399999999999987,0.36486486486486486,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1365398459630568,0.8634601540369432,1.0
19,15568982,0.0,2,1,6,1,0,Hao,726,france,female,24,54724.03,50k - 100k,24-32,0,no saving,above 700,0.3333333333333333,0.7519999999999999,0.08108108108108109,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9361330589788374,0.06386694102116265,0.0
20,15577657,0.0,2,1,8,1,0,McDonald,732,france,male,41,170886.17,150k - 200k,33-44,0,no saving,above 700,0.3333333333333333,0.7639999999999999,0.3108108108108108,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9203753983627929,0.0796246016372071,0.0
21,15597945,0.0,2,0,8,0,0,Dellucci,636,spain,female,32,138555.46,100k - 150k,24-32,0,no saving,below 650,0.3333333333333333,0.572,0.1891891891891892,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8453927262617504,0.15460727373824962,0.0
22,15699309,0.0,1,0,4,0,1,Gerasimov,510,spain,female,38,118913.53,100k - 150k,33-44,0,no saving,below 650,0.0,0.31999999999999995,0.27027027027027034,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3472512907557762,0.6527487092442238,1.0
23,15725737,0.0,2,1,3,1,0,Mosman,669,france,male,46,8487.75,1k-20k,45-60,0,no saving,650-700,0.3333333333333333,0.638,0.37837837837837845,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.7142283466727939,0.28577165332720617,0.0
24,15625047,0.0,1,1,5,1,0,Yen,846,france,female,38,187616.16,150k - 200k,33-44,0,no saving,above 700,0.0,0.9919999999999999,0.27027027027027034,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5904649858984585,0.4095350141015414,0.0
25,15738191,0.0,2,1,3,1,0,Maclean,577,france,male,25,124508.29,100k - 150k,24-32,0,no saving,below 650,0.3333333333333333,0.45399999999999985,0.09459459459459457,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.963475837986894,0.03652416201310602,0.0
26,15736816,136815.64,1,1,2,1,0,Young,756,germany,male,36,170041.95,150k - 200k,33-44,1,100k - 150k,above 700,0.0,0.8119999999999999,0.24324324324324326,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5143640796203162,0.4856359203796838,0.0
27,15700772,0.0,2,0,9,0,0,Nebechi,571,france,male,44,38433.35,20k-50k,33-44,0,no saving,below 650,0.3333333333333333,0.44200000000000006,0.35135135135135137,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8143927520866135,0.18560724791338645,0.0
28,15656300,59697.17,2,1,0,1,0,Lucciano,411,france,male,29,53483.21,50k - 100k,24-32,1,50k-100k,below 650,0.3333333333333333,0.122,0.14864864864864863,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9693069707515615,0.0306930292484385,0.0
29,15589475,0.0,3,0,3,0,1,Azikiwe,591,spain,female,39,140469.38,100k - 150k,33-44,0,no saving,below 650,0.6666666666666667,0.4819999999999999,0.2837837837837838,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.04311790865741416,0.9568820913425858,1.0
30,15706552,85311.7,1,1,7,1,0,Odinakachukwu,533,france,male,36,156731.91,150k - 200k,33-44,1,50k-100k,below 650,0.0,0.366,0.24324324324324326,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.7694726822974962,0.2305273177025038,0.0
31,15750181,110112.54,2,0,9,0,0,Sanderson,553,germany,male,41,81898.81,50k - 100k,33-44,1,100k - 150k,below 650,0.3333333333333333,0.406,0.3108108108108108,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.6455466133406708,0.35445338665932924,0.0
32,15659428,0.0,2,1,6,1,0,Maggard,520,spain,female,42,34410.55,20k-50k,33-44,0,no saving,below 650,0.3333333333333333,0.33999999999999997,0.3243243243243243,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8509522507744293,0.1490477492255707,0.0
33,15732963,0.0,2,1,9,1,0,Clements,722,spain,female,29,142033.07,100k - 150k,24-32,0,no saving,above 700,0.3333333333333333,0.7439999999999999,0.14864864864864863,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9350851839459043,0.0649148160540957,0.0
34,15794171,134264.04,1,0,0,0,1,Lombardo,475,france,female,45,27822.99,20k-50k,45-60,1,100k - 150k,below 650,0.0,0.25,0.36486486486486486,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.09943514321150926,0.9005648567884907,1.0
35,15788448,145260.23,1,1,3,1,0,Watson,490,spain,male,31,114066.77,100k - 150k,24-32,1,100k - 150k,below 650,0.0,0.2799999999999999,0.1756756756756757,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8372318551290792,0.16276814487092087,0.0
36,15729599,76548.6,1,1,7,1,0,Lorenzo,804,spain,male,33,98453.45,50k - 100k,33-44,1,50k-100k,above 700,0.0,0.908,0.2027027027027027,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7404744444302018,0.2595255555697982,0.0
37,15717426,0.0,1,1,7,1,0,Armstrong,850,france,male,36,40812.9,20k-50k,33-44,0,no saving,above 700,0.0,0.9999999999999999,0.24324324324324326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7029435478345791,0.2970564521654209,0.0
38,15585768,70349.48,2,1,6,1,0,Cameron,582,germany,male,41,178074.04,150k - 200k,33-44,1,50k-100k,below 650,0.3333333333333333,0.46399999999999986,0.3108108108108108,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.8496584945384609,0.15034150546153913,0.0
39,15619360,0.0,1,0,4,0,0,Hsiao,472,spain,male,40,70154.22,50k - 100k,33-44,0,no saving,below 650,0.0,0.244,0.2972972972972973,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4611983080663965,0.5388016919336035,0.0
40,15738148,122522.32,1,0,8,0,1,Clarke,465,france,female,51,181297.65,150k - 200k,45-60,1,100k - 150k,below 650,0.0,0.22999999999999998,0.445945945945946,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.09943514321150926,0.9005648567884907,1.0
41,15687946,117419.35,1,1,2,1,0,Osborne,556,france,female,61,94153.83,50k - 100k,above 60,1,100k - 150k,below 650,0.0,0.41200000000000003,0.5810810810810811,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4199711169589636,0.5800288830410364,0.0
42,15755196,131394.56,1,0,2,0,1,Lavine,834,france,female,49,194365.76,150k - 200k,45-60,1,100k - 150k,above 700,0.0,0.9679999999999999,0.4189189189189189,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.11137238820945317,0.8886276117905468,1.0
43,15684171,155931.11,1,1,5,1,0,Bianchi,660,spain,female,61,158338.39,150k - 200k,above 60,1,150k - 200k,650-700,0.0,0.62,0.5810810810810811,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.4208796713805397,0.5791203286194603,0.0
44,15754849,109421.13,2,1,4,1,0,Tyler,776,germany,female,32,126517.46,100k - 150k,24-32,1,100k - 150k,above 700,0.3333333333333333,0.852,0.1891891891891892,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.8596849959234169,0.14031500407658312,0.0
45,15602280,112045.67,1,1,9,1,1,Martin,829,germany,female,27,119708.21,100k - 150k,24-32,1,100k - 150k,above 700,0.0,0.9580000000000001,0.12162162162162166,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5998593654581963,0.4001406345418037,0.0
46,15771573,137843.8,1,1,9,1,1,Okagbue,637,germany,female,39,117622.8,100k - 150k,33-44,1,100k - 150k,below 650,0.0,0.574,0.2837837837837838,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.3594296360288045,0.6405703639711955,1.0
47,15766205,103391.38,1,1,2,1,0,Yin,550,germany,male,38,90878.13,50k - 100k,33-44,1,100k - 150k,below 650,0.0,0.4,0.27027027027027034,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.47983642493651857,0.5201635750634814,0.0
48,15771873,103769.22,2,0,2,0,0,Buccho,776,germany,female,37,194099.12,150k - 200k,33-44,1,100k - 150k,above 700,0.3333333333333333,0.852,0.25675675675675674,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.527795313322054,0.472204686677946,0.0
49,15616550,116363.37,2,0,10,0,0,Chidiebele,698,germany,male,44,198059.16,150k - 200k,33-44,1,100k - 150k,650-700,0.3333333333333333,0.6960000000000001,0.35135135135135137,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.686931015619659,0.31306898438034103,0.0
50,15768193,146050.97,2,0,5,0,0,Trevisani,585,germany,male,36,86424.57,50k - 100k,33-44,1,100k - 150k,below 650,0.3333333333333333,0.46999999999999986,0.24324324324324326,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.6480626816463931,0.35193731835360686,0.0
51,15683553,0.0,2,0,5,0,0,O'Brien,788,france,female,33,116978.19,100k - 150k,33-44,0,no saving,above 700,0.3333333333333333,0.876,0.2027027027027027,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.7141384552736402,0.28586154472635983,0.0
52,15702298,125561.97,1,0,8,0,1,Parkhill,655,germany,male,41,164040.94,150k - 200k,33-44,1,100k - 150k,650-700,0.0,0.61,0.3108108108108108,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.3119758883486272,0.6880241116513728,1.0
53,15569590,98495.72,1,0,1,0,1,Yoo,601,germany,male,42,40014.76,20k-50k,33-44,1,50k-100k,below 650,0.0,0.5019999999999999,0.3243243243243243,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.3461092493496415,0.6538907506503585,1.0
54,15760861,125211.92,1,1,1,1,0,Phillipps,619,france,male,43,113410.49,100k - 150k,33-44,1,100k - 150k,below 650,0.0,0.5379999999999999,0.3378378378378379,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7206936981902001,0.2793063018097999,0.0
55,15630053,127864.4,1,0,5,0,0,Tsao,656,france,male,45,87107.57,50k - 100k,45-60,1,100k - 150k,650-700,0.0,0.612,0.36486486486486486,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.19181347193174092,0.8081865280682591,1.0
56,15647091,75888.2,1,0,0,0,0,Endrizzi,725,germany,male,19,45613.75,20k-50k,18-20,1,50k-100k,above 700,0.0,0.7499999999999999,0.013513513513513542,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5273585000432497,0.4726414999567503,0.0
57,15623944,0.0,1,0,4,0,1,T'ien,511,spain,female,66,1643.11,1k-20k,above 60,0,no saving,below 650,0.0,0.32199999999999995,0.6486486486486487,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.19536921098404425,0.8046307890159557,1.0
58,15804771,40685.92,1,1,4,1,0,Velazquez,614,france,male,51,46775.28,20k-50k,45-60,1,below 50k,below 650,0.0,0.5279999999999999,0.445945945945946,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.19657616316817006,0.8034238368318299,1.0
59,15651280,136857.0,1,0,5,0,0,Hunter,742,germany,male,35,84509.57,50k - 100k,33-44,1,100k - 150k,above 700,0.0,0.7839999999999999,0.22972972972972977,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.3174354359557052,0.6825645640442948,1.0
60,15773469,152328.88,2,0,9,0,0,Clark,687,germany,female,27,126494.82,100k - 150k,24-32,1,150k - 200k,650-700,0.3333333333333333,0.674,0.12162162162162166,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.7345737085713132,0.2654262914286868,0.0
61,15702014,56084.69,2,0,1,0,0,Jeffrey,555,spain,male,33,178798.13,150k - 200k,33-44,1,50k-100k,below 650,0.3333333333333333,0.41000000000000003,0.2027027027027027,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.8378843303386017,0.16211566966139837,0.0
62,15751208,78707.16,1,1,8,1,0,Pirozzi,684,spain,male,56,99398.36,50k - 100k,45-60,1,50k-100k,650-700,0.0,0.668,0.5135135135135136,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.3944402605616478,0.6055597394383522,0.0
63,15592461,109166.37,1,1,4,1,0,Jackson,603,germany,male,26,92840.67,50k - 100k,24-32,1,100k - 150k,below 650,0.0,0.5059999999999999,0.10810810810810811,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6877141283293455,0.3122858716706544,0.0
64,15789484,169831.46,2,1,6,1,0,Hammond,751,germany,female,36,27758.36,20k-50k,33-44,1,150k - 200k,above 700,0.3333333333333333,0.8019999999999999,0.24324324324324326,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.742586770107146,0.25741322989285403,0.0
65,15696061,101633.04,1,0,1,0,0,Brownless,581,germany,female,34,110431.51,100k - 150k,33-44,1,100k - 150k,below 650,0.0,0.46199999999999986,0.21621621621621623,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.18764753296764414,0.8123524670323559,1.0
66,15641582,123180.01,2,1,10,1,0,Chibugo,735,germany,male,43,196673.28,150k - 200k,33-44,1,100k - 150k,above 700,0.3333333333333333,0.7699999999999999,0.3378378378378379,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.822121138279942,0.17787886172005793,0.0
67,15638424,150725.53,2,1,5,1,0,Glauert,661,germany,female,35,113656.85,100k - 150k,33-44,1,150k - 200k,650-700,0.3333333333333333,0.622,0.22972972972972977,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.7379711924515253,0.2620288075484747,0.0
68,15755648,98373.26,1,0,8,0,0,Pisano,675,france,female,21,18203.0,1k-20k,21-23,1,50k-100k,650-700,0.0,0.65,0.040540540540540515,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6173670477001829,0.3826329522998171,0.0
69,15703793,133745.44,4,0,2,0,1,Konovalova,738,germany,male,58,28373.86,20k-50k,45-60,1,100k - 150k,above 700,1.0,0.7759999999999999,0.5405405405405406,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.003093365999516484,0.9969066340004835,1.0
70,15620344,0.0,1,0,6,0,0,McKee,813,france,male,29,33953.87,20k-50k,24-32,0,no saving,above 700,0.0,0.926,0.14864864864864863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7153187383269934,0.28468126167300656,0.0
71,15812518,163607.18,1,1,0,1,0,Palermo,657,spain,female,37,44203.55,20k-50k,33-44,1,150k - 200k,650-700,0.0,0.614,0.25675675675675674,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.6142436058685083,0.3857563941314916,0.0
72,15779052,157780.84,2,1,5,1,0,Ballard,604,germany,female,25,58426.81,50k - 100k,24-32,1,150k - 200k,below 650,0.3333333333333333,0.5079999999999999,0.09459459459459457,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8469739846329474,0.15302601536705265,0.0
73,15770811,0.0,2,1,9,1,0,Wallace,519,france,male,36,145562.4,100k - 150k,33-44,0,no saving,below 650,0.3333333333333333,0.33799999999999997,0.24324324324324326,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9090297017326633,0.09097029826733669,0.0
74,15780961,178718.19,2,0,1,0,0,Cavenagh,735,france,female,21,22388.0,20k-50k,21-23,1,150k - 200k,above 700,0.3333333333333333,0.7699999999999999,0.040540540540540515,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.8500922816532869,0.1499077183467131,0.0
75,15614049,0.0,2,1,8,1,0,Hu,664,france,male,55,139161.64,100k - 150k,45-60,0,no saving,650-700,0.3333333333333333,0.628,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.7109064845665274,0.2890935154334726,0.0
76,15662085,0.0,1,1,9,1,0,Read,678,france,female,32,148210.64,100k - 150k,24-32,0,no saving,650-700,0.0,0.656,0.1891891891891892,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7886152527552118,0.2113847472447882,0.0
77,15575185,77253.22,1,1,5,1,0,Bushell,757,spain,male,33,194239.63,150k - 200k,33-44,1,50k-100k,above 700,0.0,0.814,0.2027027027027027,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7694404526891677,0.23055954731083228,0.0
78,15803136,122189.66,2,0,10,0,0,Postle,416,germany,female,41,98301.61,50k - 100k,33-44,1,100k - 150k,below 650,0.3333333333333333,0.132,0.3108108108108108,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.5043515414254691,0.4956484585745308,0.0
79,15706021,96645.54,2,0,1,0,0,Buley,665,france,female,34,171413.66,150k - 200k,33-44,1,50k-100k,650-700,0.3333333333333333,0.63,0.21621621621621623,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.8042666631872417,0.19573333681275826,0.0
80,15663706,0.0,1,0,2,0,1,Leonard,777,france,female,32,136458.19,100k - 150k,24-32,0,no saving,above 700,0.0,0.854,0.1891891891891892,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5891500411169226,0.41084995888307746,0.0
81,15641732,0.0,2,0,3,0,0,Mills,543,france,female,36,26019.59,20k-50k,33-44,0,no saving,below 650,0.3333333333333333,0.386,0.24324324324324326,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.7125776956717815,0.2874223043282184,0.0
82,15701164,90307.62,1,1,4,1,0,Onyeorulu,506,france,female,34,159235.29,150k - 200k,33-44,1,50k-100k,below 650,0.0,0.31199999999999994,0.21621621621621623,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.6179768440252591,0.38202315597474085,0.0
83,15738751,0.0,2,0,4,0,0,Beit,493,france,female,46,1907.66,1k-20k,45-60,0,no saving,below 650,0.3333333333333333,0.2859999999999999,0.37837837837837845,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.3352123303070166,0.6647876696929834,1.0
84,15805254,0.0,2,1,10,1,0,Ndukaku,652,spain,female,75,114675.75,100k - 150k,above 60,0,no saving,650-700,0.3333333333333333,0.604,0.7702702702702704,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.7672684448898366,0.23273155511016344,0.0
85,15762418,121681.82,1,0,3,0,1,Gant,750,spain,male,22,128643.35,100k - 150k,21-23,1,100k - 150k,above 700,0.0,0.7999999999999999,0.05405405405405406,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6936271615245225,0.30637283847547747,0.0
86,15625759,0.0,2,0,9,0,0,Rowley,729,france,male,30,151869.35,150k - 200k,24-32,0,no saving,above 700,0.3333333333333333,0.7579999999999999,0.16216216216216217,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9197967889686471,0.08020321103135288,0.0
87,15622897,0.0,3,0,4,0,1,Sharpe,646,france,female,46,93251.42,50k - 100k,45-60,0,no saving,below 650,0.6666666666666667,0.592,0.37837837837837845,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.009338912331772642,0.9906610876682274,1.0
88,15767954,81623.67,2,1,3,1,0,Osborne,635,germany,female,28,156791.36,150k - 200k,24-32,1,50k-100k,below 650,0.3333333333333333,0.57,0.13513513513513514,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8854141043076498,0.11458589569235027,0.0
89,15757535,0.0,3,1,5,1,1,Heap,647,spain,female,44,174205.22,150k - 200k,33-44,0,no saving,below 650,0.6666666666666667,0.594,0.35135135135135137,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.10320901871638855,0.8967909812836115,1.0
90,15731511,118626.55,2,0,7,0,0,Ritchie,808,france,male,45,147132.46,100k - 150k,45-60,1,100k - 150k,above 700,0.3333333333333333,0.916,0.36486486486486486,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.47884531266087693,0.5211546873391231,0.0
91,15809248,0.0,2,0,10,0,0,Cole,524,france,female,36,109614.57,100k - 150k,33-44,0,no saving,below 650,0.3333333333333333,0.348,0.24324324324324326,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.7079983157706136,0.29200168422938644,0.0
92,15640635,0.0,2,1,8,1,0,Capon,769,france,male,29,172290.61,150k - 200k,24-32,0,no saving,above 700,0.3333333333333333,0.838,0.14864864864864863,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9613395889942635,0.03866041100573644,0.0
93,15676966,0.0,2,1,4,1,0,Capon,730,spain,male,42,85982.47,50k - 100k,33-44,0,no saving,above 700,0.3333333333333333,0.7599999999999999,0.3243243243243243,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9089863798943746,0.0910136201056254,0.0
